Year-年,Keyword-关键词
2021.0,网红经济;;新式茶饮;;连锁化;;品牌化
2021.0,非遗文化;;傈僳族;;民歌“三大调”;;茶饮;;包装设计
2021.0,新式茶饮;;休闲消费;;茶饮消费市场;;茶饮行业
2021.0,乐乐茶;;市场定位;;营销策略
2021.0,消费性公共空间;;咖啡馆;;酒吧;;新式茶饮;;空间分布
2021.0,茶饮;;药食同源;;茶文化;;发展
2021.0,药食同源;;中药代茶饮;;网络药理学;;血清药理学
2021.0,场景;;场景理论;;新式茶饮;;品牌体验
2021.0,品牌;;视觉形象设计;;陕西皮影;;艺术元素
2021.0,品牌形象设计;;图像叙事;;茶饮品牌
2021.0,茶颜悦色;;品牌定位;;品牌设计;;品牌传播;;品牌维护
2021.0,高州桂圆肉;;高光谱技术;;无损快速检测;;新茶饮研发;;营养成分分析
2021.0,新式茶饮;;4ps营销组合;;STP
2021.0,社会化媒体;;品牌传播;;喜茶
2021.0,新茶饮行业;;内外部环境;;营销策略
2021.0,新式茶饮;;现状;;趋势
2021.0,新式茶饮;;定位;;高端现制茶饮;;营销策略
2021.0,新式茶饮;;创新;;茶叶原料
2021.0,新式茶饮;;新零售;;跨界营销
2021.0,品牌传播;;新式茶饮;;杯装液体奶茶;;兰芳园
2021.0,供应链管理;;茶饮;;竞争力
2021.0,喜茶;;新茶饮;;SWOT分析;;发展战略
2021.0,新中式茶饮;;同质化;;喜茶;;营销策略
2021.0,加盟店;;现制休闲茶饮;;营销策略;;市场定位
2021.0,新型冠状病毒肺炎;;中药代茶饮;;治未病;;湿;;热;;毒
2021.0,叙事性理论;;叙事性设计;;茶饮空间;;空间语言
2021.0,新式茶饮;;社会化媒体营销;;喜茶
2021.0,“云消费”时代;;跨界竞争;;茶饮市场;;创新趋势;;品牌发展
2021.0,通感设计;;多觉叠加;;普洱茶茶饮;;情感体验
2021.0,新式茶饮;;95后;;消费需求;;产品设计
2021.0,多源空间数据;;新式茶饮;;选址问题;;POI;;GIS;;机器学习
2021.0,传播仪式观;;茶饮品牌传播;;喜茶
2021.0,一点点奶茶;;现制茶饮;;营销策略;;精准营销
2021.0,微信营销;;喜茶;;消费者参与度
2021.0,品牌;;视觉形象设计;;茶饮品牌;;特色化;;南西巷
2021.0,产品包装设计;;图像叙事;;茶饮品牌;;情感共鸣
2021.0,代茶饮;;非酒精性脂肪性肝病;;湿热蕴结证
2020.0,新中式风格;;中国茶文化;;茶饮空间设计
2020.0,SWOT模型;;PEST模型;;4P营销理论;;“喜茶”营销策略
2020.0,营销策略;;4P理论;;数字化
2020.0,叙事;;图像叙事;;品牌设计;;视觉形象设计;;餐饮品牌
2020.0,新式茶饮;;品牌形象设计;;诗词文化
2020.0,高尿酸血症;;肾茶饮;;饮食习惯;;疗效
2020.0,CL公司;;袋泡茶;;品牌;;品牌战略
2020.0,桔麦代茶饮;;阴虚肺燥;;慢性咽炎;;中药代茶饮;;药食同源
2020.0,茶饮市场;;内外部环境;;市场定位;;营销策略
2020.0,中国茶文化;;新公共外交;;对外传播;;软实力
2020.0,茗公子;;茶饮;;包装设计
2020.0,八段锦;;代茶饮;;高血压病;;穴位按摩
2020.0,下肢动脉硬化闭塞症;;化瘀通络;;脉痹;;脱疽;;茶饮方
2020.0,喜茶;;品牌传播;;品牌符号;;传播策略
2020.0,互联网时代;;品牌形象设计;;新式茶饮
2020.0,消费升级;;茶饮产品;;体验式设计
2020.0,互动体验;;包装设计;;新式茶饮;;情感体验;;年轻化
2020.0,喜茶;;营销策略;;问题;;建议
2020.0,新式茶饮;;网红经济;;消费行为;;消费心理;;情感分析
2020.0,星巴克;;关系营销;;品牌依恋;;品牌体验;;品牌认同
2020.0,2型糖尿病;;中药;;代茶饮;;血糖;;肠道菌群
2020.0,高血压;;肠道菌群;;药食同源;;代茶饮;;饮食干预;;生活质量
2020.0,新茶饮空间;;盛唐禅意山水诗;;意境;;营造手法
2019.0,中药养生茶饮;;产品营销策略;;STP
2019.0,大数据;;茶饮连锁企业;;数字化营销;;营销策略;;MX
2019.0,适应性营销能力;;品牌营销;;策略;;茶饮行业
2019.0,沈阳地区喜茶;;经营策略;;PEST分析;;SWOT分析
2019.0,茶饮创业;;创新;;市场调研;;SWOT分析
2019.0,中式建筑元素;;茶饮空间;;传承;;时代特征
2019.0,新中式茶饮;;概念创新;;质量控制;;解决措施
2019.0,茶饮体验;;西湖;;游客感知;;游客行为意愿
2019.0,绿茶;;EGCG;;咖啡因;;肥胖;;非酒精性脂肪肝病;;协同作用;;安全性;;绿茶茶饮
2019.0,整合营销传播;;新式茶饮品牌;;形象设计
2019.0,社会化媒体;;新式茶饮;;包装设计
2019.0,下肢静脉曲张;;复元通络茶饮方;;术后康复;;并发症;;细胞免疫
2019.0,茶文化;;宋人笔记;;茶道;;茶文化词汇
2019.0,肺癌;;化疗;;脾胃虚弱;;胃肠道症状;;扶正茶饮方
2019.0,毛建草;;茶饮习俗;;愈伤组织诱导;;芽分化
2019.0,成都;;地域元素;;室内设计;;茶饮空间
2019.0,茶饮品牌;;品牌定位;;定位钻石图;;一日一茶
2019.0,中药代茶饮;;养生保健;;防治未病
2019.0,品牌视觉形象设计;;茶饮品牌;;企业文化
2019.0,中药代茶饮;;甲状腺全麻术后;;咽痛;;咽喉症状
2018.0,餐饮业;;创业企划书;;PEST分析;;SWOT分析
2018.0,茶饮;;商业计划书;;消费者调查问卷;;财务与风险分析
2018.0,葛黄茯茶饮颗粒;;制备方法;;质量标准;;降糖作用
2018.0,禅茶一味;;禅文化;;茶文化;;佛教
2018.0,茶文化;;苗族;;湘西
2018.0,喜茶;;连锁化;;分析;;建议
2017.0,治未病;;中药代茶饮;;中药药膳;;应用
2017.0,茶产品包装设计;;非物质文化遗产;;节气;;移动web网页
2017.0,中国茶文化;;茶文化对外传播;;茶叶出口贸易
2017.0,连锁;;休闲茶饮;;市场开发;;营销策略
2017.0,《清宫代茶饮精华》;;中医传承辅助平台(V2.5);;用药规律;;中药代茶饮;;应用情况
2017.0,现代都市茶饮空间;;视觉形象设计;;调研;;灵感来源;;设计方向
2017.0,茶文化;;中国;;韩国;;古代;;品茗空间;;茶画
2017.0,福建;;茶诗;;茶文化;;地域茶风;;点茶;;工夫茶
2017.0,图像学;;宋代;;茶文化
2017.0,贡润祥新茶语;;品牌;;视觉形象设计
2017.0,晋剧文化;;茶饮空间;;地域元素;;室内设计
2016.0,代茶饮;;口渴;;维持性血液透析;;中药
2016.0,新疆;;地域文化;;特产;;包装设计;;现代设计
2016.0,资讯设计;;茶饮;;视觉传播;;图形;;认知
2016.0,唐代茶政策;;茶业经济;;茶文化
2015.0,黄秋葵;;粗多糖;;黄酮;;抗氧化;;代茶饮;;饮料
2015.0,中国茶文化;;英国茶文化;;对比;;跨文化交际
2014.0,哈萨克族;;茶俗;;茶文化
2012.0,茶饮料生产线;;污染微生物;;微生物鉴定;;16SrDNA序列比对;;rpoB序列比对
2011.0,茶饮料;;市场研究;;品牌定位;;营销战略
,茶;;快消文化;;新茶饮;;传统茶饮;;品牌形象;;CBBE模型;;恭城油茶
,新茶饮;;分布特征;;扩张特征;;地理探测器;;中国
